Date,MSCI_ACWI,Bloomberg_Aggregate,MSCI_EM,SP500,US_10Y_TIPS,Vanguard_SmallCap (Alts Proxy),US_10Y_Treas,JPY Hedged Equity,CPI
6/1/2014,49.07526016,85.92891693,34.71469116,1960.22998,90.51961517,100.9984741,86.39017487,14.440721,0.186212694
7/1/2014,49.04183578,85.72157288,35.46682358,1930.670044,90.68036652,95.92783356,86.18496704,14.231434,-0.039019396
8/1/2014,50.30524445,86.70320892,36.47045517,2003.369995,91.22072601,100.7828827,87.8013916,14.577209,-0.167051417
9/1/2014,48.63721466,86.17552948,33.63763809,1972.290039,88.97937775,95.40179443,86.89511871,14.45892,0.075256882
10/1/2014,49.2234993,87.09609222,34.11517715,2018.050049,89.93267059,99.71353912,88.22140503,14.704602,-0.251227781
11/1/2014,49.90063477,87.66724396,33.58906555,2067.560059,90.07582092,100.765625,89.36724091,14.850189,-0.539941794
12/1/2014,48.3069191,87.4313736,31.800354,2058.899902,89.08165741,100.6017838,89.3529129,14.986682,-0.567010091
1/1/2015,48.08280182,89.75511169,32.03608322,1994.98999,92.00943756,99.85875702,93.49383545,14.843451,-0.470589237
2/1/2015,50.73139954,88.81264496,33.44823837,2104.5,90.82378387,105.6494217,91.03283691,15.318443,0.434304492
3/1/2015,49.99013138,89.13594055,32.94740677,2067.889893,90.38615417,107.2064438,91.8182373,15.14489,0.595172161
4/1/2015,51.42270279,88.82855988,35.20520782,2085.51001,90.99886322,105.0640717,91.23384857,15.159636,0.203287325
5/1/2015,51.42270279,88.44313049,33.7602272,2107.389893,90.08376312,107.1818008,90.86299133,15.370188,0.509723203
6/1/2015,49.51538086,87.48984528,32.52870178,2063.110107,89.16075897,106.2979736,89.37530518,15.095552,0.350287
7/1/2015,50.50975418,88.23391724,30.7029438,2103.840088,89.63819122,105.9916916,90.73578644,15.249779,0.006704716
8/1/2015,47.07165909,87.94122314,27.98995972,1972.180054,88.78674316,99.81349182,90.80770874,14.73564,-0.141627628
9/1/2015,45.45372391,88.64652252,27.11320686,1920.030029,88.07855225,94.46665192,92.23903656,14.23068,-0.155675658
10/1/2015,48.93395996,88.72214508,28.84190369,2079.360107,88.53779602,100.6955185,91.65611267,14.646487,-0.044968375
11/1/2015,48.67273331,88.36872101,28.11403847,2080.409912,88.45968628,102.5049973,91.26387024,14.701719,-0.211068038
12/1/2015,47.03794479,87.89168549,26.62520599,2043.939941,87.56548309,97.65911102,90.70726013,14.766162,-0.341709644
1/1/2016,45.12114716,89.46926117,25.67930031,1940.23999,88.9387207,90.80067444,94.0222702,14.348708,0.165310221
2/1/2016,44.5577774,90.07471466,25.4692955,1932.22998,90.02449036,91.5019455,95.28035736,14.163803,0.082307653
3/1/2016,47.85266876,90.86965942,28.77055931,2059.73999,91.52542877,98.9673233,95.22092438,14.810974,0.430600014
4/1/2016,48.49285889,91.10172272,28.8881588,2065.300049,91.71704102,100.9996872,95.06249237,14.922571,0.474106798
5/1/2016,48.65505219,91.1281662,27.82133675,2096.949951,91.12624359,102.9046783,94.97377014,15.154289,0.4045791
6/1/2016,47.99777222,92.8804245,28.86295891,2098.860107,93.14612579,102.975914,97.90401459,15.089408,0.328436617
7/1/2016,50.46436691,93.39419556,30.65598106,2173.600098,93.35922241,108.416626,98.15384674,15.422901,-0.16181364
8/1/2016,50.63733673,93.19779205,30.92690468,2170.949951,93.08086395,109.1485062,97.1612854,15.50662,0.091843011
9/1/2016,51.11299896,93.24440765,31.70578194,2168.27002,93.81177521,109.0503159,97.39299774,15.562439,0.240399586
10/1/2016,50.13571548,92.48634338,31.4433403,2126.149902,93.64173126,105.1210022,95.94168091,15.530665,0.124674851
11/1/2016,50.65463638,90.10626984,30.05488396,2198.810059,91.70198059,114.1247101,91.88062286,15.960511,-0.155546087
12/1/2016,51.17354584,90.12648773,29.64004326,2238.830078,91.46755981,115.6492767,91.62476349,16.194128,0.032732139
1/1/2017,53.14999008,90.69868469,31.97411537,2278.870117,92.48281097,118.0894394,92.10203552,16.496069,0.582772789
2/1/2017,54.48549271,91.10071564,32.53071213,2363.639893,92.8635025,120.831337,92.62806702,16.739901,0.314611739
3/1/2017,55.21872711,91.04945374,33.72953033,2362.719971,92.8635025,120.2089844,92.71574402,16.824301,0.081279787
4/1/2017,56.10906601,91.87310791,34.30323792,2384.199951,93.15507507,121.630928,93.73124695,17.009388,0.296553337
5/1/2017,57.34856415,92.49125671,35.27941895,2411.800049,93.01353455,120.2827148,94.50666809,17.141018,0.085472183
6/1/2017,57.16524506,92.48291779,35.44211578,2423.409912,92.22744751,122.644371,94.02253723,17.188036,0.090711101
